"assetType","slNo","customer","partName","partNo","revision","manufactureNo","manufactureYear","category","pressTonnage","mechNo","toolingLife","speed","model","cavityNo","incomingDate","location","size","weightKg","materialModel","thickness","materialWidthStep","ppepNo","blankingGap","designer","platingSupplier","productionFlowChart","firstSubmissionDate","designChangeDate","status","productPosition"
"Tooling","75","STL","Plate,Thread#2","48187084#2","","D23TL141","2024","Progressive Tooling","110T","5#","","80","Progressive Tooling / （1 Cav.）","↑ Mark","","F1/Stamping","","510","SPCC-4D","2","95*95","","Unilateral / 0.12mm","","","","","","Use","THAI"
"Tooling","76","STL","Bimetal Support Greco","51207070","","D23TL137","2024","Progressive Tooling","110T","6#","","100","Progressive Tooling / （2 Cav.）","51,52","","","","","SPCC-SD",".8","100*19.5","","Unilateral / 0.05mm","","","","","","Use","THAI"
"Tooling","77","STL","Bimetal Support Greco","51207070","","D23TL138","2024","Progressive Tooling","110T","6#","","100","Progressive Tooling / （2 Cav.）","61,62","","","","","SPCC-SD",".8","100*19.5","","Unilateral / 0.05mm","","","","","","Use","THAI"
"Tooling","78","STL","BETA Arc extinguishing chamber","72570400#1","","D23TL110","2024","Progressive Tooling","110T","2#","","100","Progressive Tooling / （12 Cav.）","1-12","","F1/A1-8","","210","SPCC-SD","0.8","93*44","","Unilateral / 0.04mm","","","","","","Use","THAI"
"Tooling","79","SEMB","CT3 Tetra A1 Coil Screw Terminal A1","172397001A50","","D23TL107","2024","Progressive Tooling","110T","3#","","50","Progressive Tooling / （1 Cav.）","A3","","F1/A3-8","","329","DC03-C390","1.2","86*16.5","","Unilateral / 0.05mm","","","","","","Use","THAI"
"Tooling","80","SEMB","CT3 Tetra A1 Coil Screw Terminal A2","W117239710111","","D23TL108","2024","Progressive Tooling","110T","3#","","50","Progressive Tooling / （1 Cav.）","A3","","","","","DC03C390(SPCC-4)","1..2","86*16.5","","Unilateral / 0.05mm","","","","","","Use","THAI"
"Tooling","81","SEMB","Coil Output A1","MFR7371002","","D23TL132","2024","Progressive Tooling","110T","3#","","50","Progressive Tooling / （2 Cav.）","NO","","F1/A1-4","","230","DC03-C390","1","60*10.5","","Unilateral / 0.06mm","","","","","","Use","THAI"
"Tooling","82","SEMB","Coil Output A2","MFR7371102","","","2024","Unknown","","","","","","","","","","","","","","","","","","","","","Use","Unknown"
"Tooling","83","SEMB","Coil Output B1","MFR73712","","D23TL133","2024","Progressive Tooling","80T","1#","","50","Progressive Tooling / （2 Cav.）","B1&B2","","F1/A1-10","","288","DC03C390(SPCC-4)","1","45*11","","Unilateral / 0.05mm","","","","","","Use","THAI"
"Tooling","84","SEMB","Coil Output B2","MFR73713","","","2024","Unknown","","","","","","","","","","","","","","","","","","","","","Use","Unknown"
